Ro Khanna (D)_2020,Ritesh Tandon (R)_2020,Ro Khanna (D)_2022,Ritesh Tandon (R)_2022,Ro Khanna (D),Anita S Chen (R),ID Race,ID Ethnicity,ID Year,Year,Hispanic Population Moe,Slug Geography,Population,share,B01001001,"B01001001, Error",B01001002,"B01001002, Error",B01001003,"B01001003, Error",B01001004,"B01001004, Error",B01001005,"B01001005, Error",B01001006,"B01001006, Error",B01001007,"B01001007, Error",B01001008,"B01001008, Error",B01001009,"B01001009, Error",B01001010,"B01001010, Error",B01001011,"B01001011, Error",B01001012,"B01001012, Error",B01001013,"B01001013, Error",B01001014,"B01001014, Error",B01001015,"B01001015, Error",B01001016,"B01001016, Error",B01001017,"B01001017, Error",B01001018,"B01001018, Error",B01001019,"B01001019, Error",B01001020,"B01001020, Error",B01001021,"B01001021, Error",B01001022,"B01001022, Error",B01001023,"B01001023, Error",B01001024,"B01001024, Error",B01001025,"B01001025, Error",B01001026,"B01001026, Error",B01001027,"B01001027, Error",B01001028,"B01001028, Error",B01001029,"B01001029, Error",B01001030,"B01001030, Error",B01001031,"B01001031, Error",B01001032,"B01001032, Error",B01001033,"B01001033, Error",B01001034,"B01001034, Error",B01001035,"B01001035, Error",B01001036,"B01001036, Error",B01001037,"B01001037, Error",B01001038,"B01001038, Error",B01001039,"B01001039, Error",B01001040,"B01001040, Error",B01001041,"B01001041, Error",B01001042,"B01001042, Error",B01001043,"B01001043, Error",B01001044,"B01001044, Error",B01001045,"B01001045, Error",B01001046,"B01001046, Error",B01001047,"B01001047, Error",B01001048,"B01001048, Error",B01001049,"B01001049, Error"
74120,23376,296257,14101,212840,0,3,1,2013,2013,546.0,congressional-district-17-ca,2060,0.0028776576425558,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
74120,23376,296257,14101,212840,0,4,0,2013,2013,694.0,congressional-district-17-ca,3638,0.0050819992736009,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
74120,23376,296257,14101,212840,0,4,1,2013,2013,57.99999999999999,congressional-district-17-ca,106,0.0001480736456849,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
74120,23376,296257,14101,212840,0,5,0,2013,2013,623.0,congressional-district-17-ca,2157,0.0030131589975693,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
74120,23376,296257,14101,212840,0,5,1,2013,2013,3109.0,congressional-district-17-ca,49818,0.0695918196295365,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
74120,23376,296257,14101,212840,0,6,0,2013,2013,1517.8010409800097,congressional-district-17-ca,22421,0.0313203699047299,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
74120,23376,296257,14101,212840,0,6,1,2013,2013,1097.4465818435085,congressional-district-17-ca,11043,0.0154262006537591,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
677982,15231,838611,6527,1518917,19350,0,0,2022,2022,2771.0,congressional-district-17-ca,161906,0.215417120702295,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
677982,15231,838611,6527,1518917,19350,0,1,2022,2022,2121.0,congressional-district-17-ca,29061,0.0386658736842945,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
677982,15231,838611,6527,1518917,19350,1,0,2022,2022,1483.0,congressional-district-17-ca,15180,0.0201971013567183,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
677982,15231,838611,6527,1518917,19350,1,1,2022,2022,235.0,congressional-district-17-ca,459,0.0006107028671102,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
677982,15231,838611,6527,1518917,19350,2,0,2022,2022,315.0,congressional-district-17-ca,1609,0.0021407863032252,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
677982,15231,838611,6527,1518917,19350,2,1,2022,2022,497.0,congressional-district-17-ca,2052,0.0027302010529635,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
677982,15231,838611,6527,1518917,19350,3,0,2022,2022,4904.0,congressional-district-17-ca,418696,0.5570780994501013,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
677982,15231,838611,6527,1518917,19350,3,1,2022,2022,413.0,congressional-district-17-ca,1369,0.0018214645426447,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
677982,15231,838611,6527,1518917,19350,4,0,2022,2022,921.0,congressional-district-17-ca,3948,0.0052528429615496,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
677982,15231,838611,6527,1518917,19350,4,1,2022,2022,115.0,congressional-district-17-ca,175,0.0002328387837566,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
677982,15231,838611,6527,1518917,19350,5,0,2022,2022,627.0,congressional-district-17-ca,3522,0.0046860468365192,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
677982,15231,838611,6527,1518917,19350,5,1,2022,2022,3085.0,congressional-district-17-ca,56349,0.0749727578623004,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
677982,15231,838611,6527,1518917,19350,6,0,2022,2022,1816.6576452375396,congressional-district-17-ca,27127,0.0360926724969498,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
677982,15231,838611,6527,1518917,19350,6,1,2022,2022,3037.886107147534,congressional-district-17-ca,30140,0.0401014910995711,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
677982,15231,838611,6527,1518917,19350,0,0,2021,2021,3325.0,congressional-district-17-ca,163368,0.2093811919891521,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
677982,15231,838611,6527,1518917,19350,0,1,2021,2021,2428.0,congressional-district-17-ca,34352,0.0440273658685382,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
677982,15231,838611,6527,1518917,19350,1,0,2021,2021,1631.0,congressional-district-17-ca,17376,0.0222700136624278,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
677982,15231,838611,6527,1518917,19350,1,1,2021,2021,238.0,congressional-district-17-ca,565,0.0007241343070483,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
677982,15231,838611,6527,1518917,19350,2,0,2021,2021,348.0,congressional-district-17-ca,1753,0.002246738832311,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
677982,15231,838611,6527,1518917,19350,2,1,2021,2021,470.0,congressional-district-17-ca,1958,0.0025094778286736,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
677982,15231,838611,6527,1518917,19350,3,0,2021,2021,4958.0,congressional-district-17-ca,441663,0.5660589919537784,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
677982,15231,838611,6527,1518917,19350,3,1,2021,2021,394.0,congressional-district-17-ca,1170,0.0014995347597283,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
677982,15231,838611,6527,1518917,19350,4,0,2021,2021,976.0,congressional-district-17-ca,4252,0.0054495912806539,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
677982,15231,838611,6527,1518917,19350,4,1,2021,2021,134.0,congressional-district-17-ca,228,0.0002922170301009,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
677982,15231,838611,6527,1518917,19350,5,0,2021,2021,635.0,congressional-district-17-ca,3066,0.0039295500626728,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
677982,15231,838611,6527,1518917,19350,5,1,2021,2021,3479.0,congressional-district-17-ca,57533,0.0737373789157722,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
677982,15231,838611,6527,1518917,19350,6,0,2021,2021,1785.4803275309418,congressional-district-17-ca,28707,0.0367924310662589,744019,12624,383826,8584,20268,2161,18524,2397,19646,2302,11659,1745,9575,1584,3046,941,3931,1180,16227,2020,34762,2840,42797,2777,34664,2999,27445,2861,20890,1801,24426,2396,24220,2501,10740,1826,12196,1793,7157,1126,10603,1366,12530,1568,7775,1170,5751,1228,4994,1018,360193,6906,16633,2384,18669,2320,18710,2523,10177,1354,7036,1305,4337,1508,3280,1509,14877,2542,28995,2737,34415,2529,28732,3035,25146,2932,23399,2352,23950,1780,22294,2435,8557,1613,14767,1953,7081,1112,9824,1575,13078,1644,10120,1502,8438,1479,7678,1325
